"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1726196674849341534","Sun Nov 19 11:12:13 +0000 2023","5","Sewu Dino https://t.co/ufczHoyYdZ","1726196674849341534","","","in","Mojokerto, Jawa Timur","0","0","2","https://twitter.com/ninikkusrini64/status/1726196674849341534","1725813621404622848","ninikkusrini64"
"1762321838007579040","Tue Feb 27 03:40:43 +0000 2024","3","Kedatangan make up artist film Sewu Dino &amp; Pemandi Jenazah. Kita tanyain2 ntar sore pas surup di @rumahkpy semoga gak seremmmm #TutbeKelas (link on bio) https://t.co/622JNtNZoq","1762321838007579040","https://pbs.twimg.com/media/GHUGXuaaAAAVL31.jpg","","in","Kelas Pagi Yogyakarta","0","1","0","https://twitter.com/tutbek/status/1762321838007579040","2602913204","tutbek"
"1739607511391744302","Tue Dec 26 11:22:05 +0000 2023","4","Sewu dino bagus ga ?","1739607511391744302","","","in","Semarang, Jawa Tengah","1","5","0","https://twitter.com/dewhry_/status/1739607511391744302","1635974181815721985","dewhry_"
"1727931945341104242","Fri Nov 24 06:07:33 +0000 2023","6","Aku pikir Sewu Dino bakalan tergusur taunya beda tifiiiissssss. Selamat kepada 172 Days yang sudah menempati OD tertinggi keempat tahun ini dengan raihan 185.250 penonton. Pantes aja bioskop penuh sesak kemarin. Yaaa emang berasa sih. https://t.co/688T6zKtsH","1727931945341104242","https://pbs.twimg.com/media/F_rY8aLbkAAG8E0.jpg","","in","Tokyo-to, Japan","1","0","1","https://twitter.com/txtanakbioskop/status/1727931945341104242","1191622736801456128","txtanakbioskop"
"1719992329573130564","Thu Nov 02 08:18:21 +0000 2023","5","Film Sewu Dino menjadi film #1 di @primevideoid. Terima kasih teman-teman! Tonton perjalanan gadis Kliwon menjaga Dela sekarang di https://t.co/LEYbxOWwR1. #SewuDino #MDEntertainment #MDPictures #PrimeVideoID https://t.co/Vk2VZm3CDF","1719992329573130564","https://pbs.twimg.com/media/F96j5yxbIAA2ndg.jpg","","in","Indonesia","0","0","4","https://twitter.com/MDPictures/status/1719992329573130564","2714298391","MDPictures"
"1748853313339322624","Sun Jan 21 00:09:10 +0000 2024","31","2023: Sewu Dino (4.863.533) https://t.co/ZR9QKQchvM","1748860249413714321","https://pbs.twimg.com/media/GEUzIDnbcAEFB3x.jpg","djaycoholyc","in","Ring 1","0","1","3","https://twitter.com/djaycoholyc/status/1748860249413714321","34886146","djaycoholyc"
"1746071869340762176","Sat Jan 13 07:29:08 +0000 2024","3","Kesan nonton Sewu Dino: Sewu Dino adalah film yang diadaptasi dari cerita thread twitter viral oleh akun SimpleMan akun yang dulu juga memviralkan cerita KKN Di Desa Penari. Seorang wanita muda bernama Sri sedang kesusahan mencari uang untuk biaya pengobatan ayahnya yang sakit https://t.co/5dSUJeKgNl","1746071869340762176","https://pbs.twimg.com/media/GDtLG-KbEAAzrHt.jpg","","in","Valinor","1","1","0","https://twitter.com/SapphireKey06/status/1746071869340762176","1095293475967270913","SapphireKey06"
"1745979673811796144","Sat Jan 13 01:22:47 +0000 2024","49","Kenapa sewu dino ga ada dinonya? -10/10 film tidak direkomen. Ga ada dinonya. &gt;:(","1745979673811796144","","","in","Banjir Kanal Timur","0","19","1","https://twitter.com/LeaLestariVT/status/1745979673811796144","1576927000727785474","LeaLestariVT"
"1755952578675028369","Fri Feb 09 13:51:33 +0000 2024","2","Santet Sewu Dino","1755952578675028369","","","in","Indonesia","0","1","0","https://twitter.com/HariMusola/status/1755952578675028369","1674904945827647490","HariMusola"
"1750137672205807975","Wed Jan 24 14:12:37 +0000 2024","148","@tanyakanrl km harus nonton 1. sewu dino 2. diambang kematian 3. susuk menurutku pecinta film horror ini best movie 2023","1750159676484800726","","tanyakanrl","in","","4","8","15","https://twitter.com/teenkaaaa/status/1750159676484800726","950180372658110465","teenkaaaa"
"1745348841455685776","Thu Jan 11 07:36:05 +0000 2024","1","Dela nih masih kurang apa ya jd tumbal di sewu dino","1745348841455685776","","","in","","1","0","1","https://twitter.com/easterli1y_/status/1745348841455685776","1203222010475634689","easterli1y_"
"1740650013322280975","Fri Dec 29 08:26:32 +0000 2023","3","Diposisi pertama ada film horor Sewu Dino produksi MD Pictures. Siapa nih yang sudah nonton. https://t.co/Da3DXOcjVS","1740650494174105766","https://pbs.twimg.com/media/GCgIZcrawAAJtME.jpg","cinema21","in","Jakarta, Indonesia","1","2","0","https://twitter.com/cinema21/status/1740650494174105766","18211861","cinema21"
"1761377112085418151","Sat Feb 24 13:06:42 +0000 2024","9","Trah Pitu Lakon Universe ini memang sangat menarik diklaim story kisah nyata oleh Simpleman dgn konsep 7 keluarga terpandang di Jawa yg menganut sistem Jinchuriki &amp; Biju iblisnya Baru baca Sewu Dino &amp; Janur ireng masih belum nyambung juga semuanya. Lebih rumit dari avenger. https://t.co/aSIscFbFsm","1761377112085418151","https://pbs.twimg.com/media/GHGrI5maoAAhqEO.jpg","","in","London, England","0","1","2","https://twitter.com/m_iqbalhrs/status/1761377112085418151","986776223702401024","m_iqbalhrs"
"1721888218126451077","Tue Nov 07 13:51:56 +0000 2023","14","Sewu Dino is pretty solid compared to KKN di Desa Penari","1721888218126451077","","","in","Jakarta Capital Region","0","2","0","https://twitter.com/nightmarecrones/status/1721888218126451077","1319703026043514880","nightmarecrones"
"1720609869856702968","Sat Nov 04 01:12:15 +0000 2023","6","which era did we become moots jelek jelekin selesai jelek jelekin teka teki tika admin magang sewu dino g ada dinosaurus di bully abis roasting orang","1720609869856702968","","","in","","0","4","0","https://twitter.com/kovarianregresi/status/1720609869856702968","1071300830534332417","kovarianregresi"
"1741826749636489332","Mon Jan 01 14:20:33 +0000 2024","13","5 Judul filem horor/thriller/misteri di dunia akademisi: - Pengabdi Scopus - Bersekutu dengan GPT - Sebelum Sidang Menjemput - Bernafas dalam LaTeX - Sewu Dino (riset) ada yg mau nambahin?","1741826749636489332","","","in","Indonesia","0","2","1","https://twitter.com/papanberjalan/status/1741826749636489332","1048892219430596608","papanberjalan"
"1728069514141557225","Fri Nov 24 15:14:12 +0000 2023","3","sewu dino #nw","1728069514141557225","","","in","ℙ 𝔼 ℕ 𝔸 ℕ 𝔾  🇲🇾 | 🇵🇸 🍉","0","0","0","https://twitter.com/ucnaa__/status/1728069514141557225","883771907107020800","ucnaa__"
"1742314827828416921","Tue Jan 02 22:40:00 +0000 2024","12","Dalam 2 minggu mvs Aquaman2 sudah mendapat lebih dari 3juta penonton diprediksi finish sekitar 4juta &amp; jadi TOP 3 film 2023 terlaris di Indonesia setelah Sewu Dino dan Fast X https://t.co/QH6PCATjrt","1742314827828416921","https://pbs.twimg.com/media/GC3xrU0asAAbh2O.jpg","","in","MORE INFO CHECK LIKES","1","6","0","https://twitter.com/moviemenfes/status/1742314827828416921","1565895180","moviemenfes"
"1727881630826852485","Fri Nov 24 02:47:37 +0000 2023","21","Peringkat OD Film Indonesia 2023 sebelum ini: 1. Petualangan Sherina 2 - 256.286 2. Suzzanna: Malam Jumat Kliwon - 193.263 3. Sewu Dino - 187.505 4. Kisah Tanah Jawa: Pocong Gundul - 153.778 172 DAYS bakal duduk di peringkat ke ...","1727881630826852485","","","in","Indonesia","1","3","5","https://twitter.com/bicaraboxoffice/status/1727881630826852485","907454761766494208","bicaraboxoffice"
"1729300716832129182","Tue Nov 28 00:46:34 +0000 2023","2","CMIIW kayaknya Sengkolo tulisan latinnya Sengkala . Ini sejenis judul Sewu Dino dulu yang harusnya Sewu Dina Mohon maaf setauku 'sengkolo' itu ada arti lain. Sejenis bubur. https://t.co/iIxnQ4SFPv","1729300716832129182","https://pbs.twimg.com/media/F_-11k0a0AEPc3N.jpg","","in","Indonesia","1","0","0","https://twitter.com/bahasa_hanief/status/1729300716832129182","35170503","bahasa_hanief"
"1750143324080783393","Wed Jan 24 13:13:01 +0000 2024","143","@sosmedkeras not sewu dino it's siji dino","1750144677456883719","","sosmedkeras","in","Pabrik","0","3","5","https://twitter.com/Celahkecil/status/1750144677456883719","710409626","Celahkecil"
"1756959177011085385","Mon Feb 12 08:31:25 +0000 2024","6","Sekarang gue ngerti kenapa org Indo sukanya nonton film horror. Karena kenyataan hidup di Indo kalo dijadiin film kayak #dirtyvotes lebih serem dibanding Pengabdi Setan + Sewu Dino + Danur Universe ","1756959177011085385","","","in","Jakarta Capital Region","0","0","2","https://twitter.com/duolion163/status/1756959177011085385","1004983954506518528","duolion163"
"1749389788053192795","Mon Jan 22 11:13:22 +0000 2024","8","Sewu Dino vibes sih ini ","1749389788053192795","","","in","Jakarta Capital Region","0","0","1","https://twitter.com/GilaFilmID/status/1749389788053192795","538972199","GilaFilmID"
"1736976873371152590","Tue Dec 19 05:08:52 +0000 2023","3","Sewu Dino? Ga pernah denger Ga pernah suka film indo krn scriptnya biasanya sucks artis kdg kalau bukan pemeran utama aktingny cringe Tp ya got to be honest Pengabdi setan not bad the Raid walau Iko aktingnya jelek overall keren dan emak ingin naik haji cukup heartwarming","1736976873371152590","","","in","Indonesia","0","1","1","https://twitter.com/ImaIsBack/status/1736976873371152590","1713265779234549760","ImaIsBack"
"1742122107029635497","Wed Jan 03 03:19:28 +0000 2024","62","@lawakboxd Sewu Dino film ga sesuai novel bahkan adegan yang seru di Novel malah ga ada. Yang di tayangin malah adegan gajelas dan bikin mumet kecewa parah. Padahal pas baca di Novel itu seru mampus","1742385160400867689","","lawakboxd","in","","1","4","3","https://twitter.com/nnyls_/status/1742385160400867689","1449332179834597377","nnyls_"
"1762516015584542787","Tue Feb 27 16:32:18 +0000 2024","0","Sewu Dino (2023) https://94.72.101.100/sewu-dino-2023/","1762516015584542787","","","in","","0","0","0","https://twitter.com/DeriskyA/status/1762516015584542787","1420713582380023808","DeriskyA"
"1742447279385325622","Wed Jan 03 07:26:19 +0000 2024","0","Serem tp sereman sewu dino anjir aku nonton ini cuma kaget sekali sewu dino sampe ngucap bapa kami","1742447279385325622","","","in","","0","0","0","https://twitter.com/evanevscent/status/1742447279385325622","768904017485279233","evanevscent"
"1771454569509167117","Sat Mar 23 08:30:56 +0000 2024","0","cw // film horor ️ sender baru selesai nonton kkn desa penari terus mau lanjut sewu dino karna penasaran. tapi sewu dino ada g0re/thrill3rnya gitu nggak ya? tanyarl https://t.co/UzVhfB0GCa","1771454569509167117","https://pbs.twimg.com/media/GJV4ih7bwAAiiIx.jpg","","in","Indonesia","0","8","1","https://twitter.com/tanyakanrl/status/1771454569509167117","1331650559518990336","tanyakanrl"
"1775887571245269471","Thu Apr 04 14:06:06 +0000 2024","0","Dino pak Sewu dino ","1775887571245269471","","","in","#nyantaiaja","0","0","0","https://twitter.com/briavns/status/1775887571245269471","1411682445611520004","briavns"
"1776459425034997973","Sat Apr 06 04:35:36 +0000 2024","12","10. KIMO STAMBOEL Total Perolehan Penonton: 10.304.335 Penonton Terbanyak: 4.891.609 (Sewu Dino) Total Film (sebagai Sutradara): 11 https://t.co/ldwQicSRvv","1776468778030899449","https://pbs.twimg.com/media/GKdHDNkbkAAY88v.png","djaycoholyc","in","Ring 1","1","1","2","https://twitter.com/djaycoholyc/status/1776468778030899449","34886146","djaycoholyc"
"1775752949748424931","Thu Apr 04 05:11:09 +0000 2024","0","sewu dino","1775752949748424931","","","in","unlabeled ; she/they, ISFP!","0","0","0","https://twitter.com/etrnalsumshine/status/1775752949748424931","1633083416953630721","etrnalsumshine"
"1761259683816620207","Sat Feb 24 05:20:05 +0000 2024","0","samasama mandiin (beda sih) tapi serem ini apa sewu dino? soalnya gue AGAK trauma nonton sewu dino anjirrrr suara ritual mandinya itu lohhh","1761259683816620207","","","in","134340","0","1","0","https://twitter.com/eunoiaaxx/status/1761259683816620207","1352588741370548227","eunoiaaxx"
"1751917766481948811","Mon Jan 29 10:38:39 +0000 2024","0","Bgst energinya daripada buat ini film kan mending all out ke sewu dino. Jgn sampe sewu dino mengecewakan :(","1751917766481948811","","","in","","0","0","0","https://twitter.com/Aldikurrr/status/1751917766481948811","1371952939359563782","Aldikurrr"
"1775747570553565533","Thu Apr 04 04:49:47 +0000 2024","0","Let's go nonton Sewu Dino: https://t.co/sDzsnS4BJS Siapapun bleh itut","1775747570553565533","","","in","","0","1","0","https://twitter.com/ceIishere/status/1775747570553565533","872445096104402947","ceIishere"
"1775843967801913729","Thu Apr 04 11:12:50 +0000 2024","0","Sewu dino kalo gak salah sih","1775843967801913729","","","in","","0","0","0","https://twitter.com/lalaniaa_/status/1775843967801913729","1744531909634568192","lalaniaa_"
"1752041459711463439","Mon Jan 29 23:41:32 +0000 2024","10","@XavierNaxa kenapa part lari dalam semak tu macam dalam sewu dino? berkait ke?","1752114788346536231","","XavierNaxa","in","","0","2","1","https://twitter.com/apiqmael/status/1752114788346536231","308855983","apiqmael"
"1774583587289157746","Sun Mar 31 23:44:32 +0000 2024","0","sewu dino ada dalam loklok guysss","1774583587289157746","","","in","Kuching, Sarawak 🔥","0","0","0","https://twitter.com/NFirene/status/1774583587289157746","1487221140","NFirene"
"1758494089325232199","Fri Feb 16 14:19:54 +0000 2024","12","@jarangkeluarr SEWU DINO ada di Prime Video. Kalo Netflix tau deh bakal masuk apa engga. https://t.co/VpSQpX1Jmr","1758496427997798657","https://pbs.twimg.com/media/GGdvLkfasAAufbC.jpg","jarangkeluarr","in","Indonesia","0","1","1","https://twitter.com/HabisNontonFilm/status/1758496427997798657","1083056591383875584","HabisNontonFilm"
"1776278251184500877","Fri Apr 05 15:58:31 +0000 2024","0","SEWU DINO LEBIH BAGUS DR PD KKN BUAT GUE HAHAHAHAHAH","1776278251184500877","","","in","Republic of Korea","1","1","0","https://twitter.com/trelintas/status/1776278251184500877","1511582015308853248","trelintas"
"1764815669785411747","Tue Mar 05 00:50:19 +0000 2024","0","Di thread sewu dino erna itu kan art dan yaudah gitu art aja tapi di film sewu dino. Erna ini pasangannya sabdo kuncoro yg nyamar jadi art padahal pasangannya sabdo kuncoro di novel JI kan intan kuncoro (?) Dan intannya udah mat1 jg hm bingung...","1764815669785411747","","","in","intp","0","1","0","https://twitter.com/wwiotachi/status/1764815669785411747","1585604795871600642","wwiotachi"
"1775743828215079087","Thu Apr 04 04:34:55 +0000 2024","0","lama banget wkwk kalo ga salah Sewu Dino setahunan ga pernah nntn lagi","1775743828215079087","","","in","","0","0","0","https://twitter.com/Zaydeenxx/status/1775743828215079087","1751826628857245696","Zaydeenxx"
"1739573277750927569","Tue Dec 26 09:06:03 +0000 2023","1","Udh nonton: sewu dino diambang kematian wktu maghrib susana malam jumat kliwon sijjin kisah tanah jaw panggonan wingit pamali dusun pocong khanzab sosok ketiga siksa neraka indigo Fav: sewu dino kisah tanah Jawa sijjin waktu maghrib","1739573277750927569","","","in","","0","1","0","https://twitter.com/28Annas/status/1739573277750927569","1358879924371615744","28Annas"
"1774719140286407072","Mon Apr 01 08:43:10 +0000 2024","0","Sewu Dino Sijiin Waktu Maghrib. Ga tau kenapa puasa-puasa gini pengen nonton horor terus ","1774719140286407072","","","in","6CC24A","0","1","0","https://twitter.com/cathijaumiskin/status/1774719140286407072","1427195184056467456","cathijaumiskin"
"1775862068878692412","Thu Apr 04 12:24:45 +0000 2024","1","yeayy sik sabarrr!!! sewu dino seruuuu","1775862068878692412","","","in","Kuching, Sarawak 🔥","0","0","0","https://twitter.com/NFirene/status/1775862068878692412","1487221140","NFirene"
"1765551995266691392","Thu Mar 07 01:36:12 +0000 2024","1","pernaah nonton sendirii waktu itu liat nct dream yang di bioskop itu pengabdi setan 2 sama Sewu dino sendiri AAHAHAHHA tapi yaa gitu sih gaada yang bisa diajak ngobrol agak bosen juga tapi seru nonton sendirian","1765551995266691392","","","in","~","0","0","0","https://twitter.com/arceiiya/status/1765551995266691392","1661401861767979010","arceiiya"
"1775565780492653046","Wed Apr 03 16:47:25 +0000 2024","0","sewu dino kayanya","1775565780492653046","","","in","","0","0","0","https://twitter.com/wztice/status/1775565780492653046","1603270711526948864","wztice"
"1764817967743914386","Tue Mar 05 00:59:26 +0000 2024","0","Kita usahakan namatin universe sewu dino sesuai urutan itu. Sewu dino dah janur ireng dah sekarang saatnya baca ini https://t.co/pWcoGz9v93","1764817967743914386","https://pbs.twimg.com/tweet_video_thumb/GH3klT3aIAAMgb8.jpg","","in","intp","0","0","0","https://twitter.com/wwiotachi/status/1764817967743914386","1585604795871600642","wwiotachi"
"1774319219787931855","Sun Mar 31 06:14:01 +0000 2024","0","Massively disappointed with Sewu Dino. Kirain bakal serem ternyata meh.","1774319219787931855","","","in","","0","0","0","https://twitter.com/cuddle_gurun/status/1774319219787931855","1324863655070982144","cuddle_gurun"
"1776076636418699712","Fri Apr 05 02:37:22 +0000 2024","0","Nungguin lanjutan Sewu Dino itu lebih bagus filmnya cuma gak terlalu hype. film KKN kayaknya masih membuat trauma yang nonton karena fomo dan viralnya. Tp ini kayaknya lebih niat si dr sutradara saja ngambil bang Kimo.","1776076636418699712","","","in","Kota Semarang, Jawa Tengah","0","0","0","https://twitter.com/ErwindoNessia/status/1776076636418699712","580665602","ErwindoNessia"
"1776289927829049620","Fri Apr 05 16:44:55 +0000 2024","0","Abis sewu dino nonton ini kali ya","1776289927829049620","","","in","Republic of Korea","0","1","0","https://twitter.com/trelintas/status/1776289927829049620","1511582015308853248","trelintas"
"1775470711995588701","Wed Apr 03 10:29:39 +0000 2024","0","callie takut sama sewu dino deh keknya gua pernah nonton sewu dino sama org yg dket sama gua dulu dan dia juga ketakutan . mngknya pas callie blg gtu gua lgsg mikir sewu dino karena ada adegan mandi drah nya + kepikir dia soalnya emang dia ketakutan + bioskop date sma gua","1775470711995588701","","","in","Callista Heart's","0","0","0","https://twitter.com/elLoppe_/status/1775470711995588701","1741083741928448000","elLoppe_"
"1757271788961022233","Tue Feb 13 06:06:03 +0000 2024","0","@ilhampatahudin @bicaraboxoffice berapa tuh sewu dino","1757284984522682373","","ilhampatahudin","in","She/her ☆","0","2","0","https://twitter.com/giselleaice/status/1757284984522682373","1315179921728184322","giselleaice"
"1775851642598109435","Thu Apr 04 12:28:57 +0000 2024","103","@SimpleM81378523 Padahal lebih penasaran sama lanjutan sewu dino.","1775863126380155108","","SimpleM81378523","in","jakarta Pusat","4","9","10","https://twitter.com/NurRnurhakim87/status/1775863126380155108","1579097533","NurRnurhakim87"
"1719315561686143420","Tue Oct 31 11:29:07 +0000 2023","0","Abis nonton sewu dino. Jujur kecewa gw nontonnya cerita sebagus dan seseram itu jadi jelek banget di filmnya. So jadi yang jelek bukan kkn aja sewu dino juga jelek. ","1719315561686143420","","","in","Unknown","0","0","0","https://twitter.com/DuniaDiary/status/1719315561686143420","721746753943277568","DuniaDiary"
"1775739851473826059","Thu Apr 04 04:30:33 +0000 2024","0","@tanyakanrl Sewu Dino","1775742733065560295","","tanyakanrl","in","99's, Sapphic","0","0","0","https://twitter.com/fallingf0ryouu_/status/1775742733065560295","1480716627461083136","fallingf0ryouu_"
"1753704655727849716","Sat Feb 03 13:30:30 +0000 2024","27","@boughil @sosmedkeras ini masih nyatu ga nih sama sewu dino ceritanya","1753772955597983908","","boughil","in","","0","2","0","https://twitter.com/0kesajah/status/1753772955597983908","1456649083553083394","0kesajah"
"1749297729514422465","Mon Jan 22 05:10:25 +0000 2024","18","Prime Video: Sewu Dino Waktu Maghrib Khanzab Netflix: Air Mata di Ujung Sajadah Suzzanna: Malam Jumat Kliwon Ketika Berhenti di Sini Buya Hamka Vol. 1 https://t.co/vGj1sigFBi","1749298451266121816","https://pbs.twimg.com/media/GEbBqPia0AAxfcr.jpg","HabisNontonFilm","in","Indonesia","0","0","0","https://twitter.com/HabisNontonFilm/status/1749298451266121816","1083056591383875584","HabisNontonFilm"
"1776066805179822192","Fri Apr 05 01:58:18 +0000 2024","0","Menunggu lanjutan sewu dino","1776066805179822192","","","in","-","0","0","0","https://twitter.com/dilafau_/status/1776066805179822192","1109071001457815552","dilafau_"
"1775851642598109435","Fri Apr 05 01:45:06 +0000 2024","0","@NurRnurhakim87 @SimpleM81378523 sewu dino itu yg della bukan","1776063480858366298","","NurRnurhakim87","in","Yogyakarta, Indonesia","0","1","0","https://twitter.com/kotnim_/status/1776063480858366298","1068160803885408258","kotnim_"
